T	0	2000	BIOMIG1BAC	730182	731918
T	2000	4000	BIOMIG1BAC	1237498	1238949
T	4000	6000	BIOMIG1BAC	1484314	1485816
T	6000	8000	BIOMIG1BAC	4738943	4741321
T	8000	10000	BIOMIG1BAC	5309762	5311144
T	10000	12000	BIOMIG1BAC	5950062	5952686
T	12000	14000	BIOMIG1BAC	227192	229246
T	14000	16000	BIOMIG1BAC	1236042	1237487
T	16000	18000	BIOMIG1BAC	1698168	1699883
T	18000	20000	BIOMIG1BAC	3933217	3934680
T	20000	22000	BIOMIG1BAC	4741357	4742373
T	22000	24000	BIOMIG1BAC	4799107	4800588
T	24000	26000	BIOMIG1BAC	6173638	6175413
T	26000	28000	BIOMIG1BAC	6370869	6372158
T	28000	30000	BIOMIG1BAC	6990654	6993260
T	30000	32000	BIOMIG1BAC	7163481	7164680
T	32000	34000	BIOMIG1BAC	229243	230196
T	34000	36000	BIOMIG1BAC	1238966	1239253
T	36000	38000	BIOMIG1BAC	1395028	1397874
T	38000	40000	BIOMIG1BAC	4314881	4317436
T	40000	42000	BIOMIG1BAC	4443459	4443971
T	42000	44000	BIOMIG1BAC	4743676	4745598
T	44000	46000	BIOMIG1BAC	5268887	5270167
T	46000	48000	BIOMIG1BAC	5311163	5312860
T	48000	50000	BIOMIG1BAC	6512428	6513783
T	50000	52000	BIOMIG1BAC	6761085	6763916
